My underwear is dirty.	我的內衣髒了
I am constantly forgetting names.	我經常忘記別人的名字。
Look at my new car.	看看我的新車。
I think I'll take a bath tonight.	我想我今晚會洗澡。
She is lacking in common sense.	她缺乏常识。
I will be at the meeting.	我会出席会议的。
Are you familiar with the rules of soccer?	你對足球規則熟悉嗎？
Would you like to have some coffee?	你要喝點咖啡嗎?
There's still no end in sight.	還是看不見盡頭。
He held a ball.	他举办了一场舞会。
Rome wasn't built in a day.	罗马不是一天建成的。
I live on the outskirts of Tokyo.	我住在東京郊區。
I want to buy a few pairs of sunglasses.	我想買幾副墨鏡。
Which is your book?	哪本是你的书？
He pretended not to be listening.	他裝作沒在聽。
Not even one taxi stopped.	甚至沒有一輛計程車停下來。
I'll be back in ten minutes.	我10分钟后回来。
Can I get you something to drink?	我可以帶喝的東西給你嗎?
I will give you whatever you want.	我會給你任何你想要的東西。
Tom is waiting for everyone to leave.	汤姆等着每个人都离开。
It's too large.	它太大了。
It's cold this morning.	今天早上冷。
Tom is drinking juice.	Tom正在喝果汁。
Halley's Comet will come back in 2061.	哈雷彗星將在2061回來。
That bicycle is mine.	那自行车是我的。
He walked past the house.	他走過這棟房子。
He ran.	他跑了。
I haven't finished my homework yet.	我还没做完作业。
Shut all the doors and windows.	關閉所有的門和窗戶。
I think your work is all right.	我觉得你的工作可以。
I feed my cat every morning and every evening.	每天早晚，我给我的猫喂食。
He caught a cold.	他着凉了。
I want you to stay a little longer.	我想让你再呆一会。
It looks like Tom has bought a new bicycle.	看來湯姆借了輛自行車。
She lived a lonely life.	她的生活很寂寞。
Go straight home.	直接回家。
Christmas is soon, isn't it?	聖誕節很快就到了，不是嗎？
There's no membership fee for joining.	參加不用會員費。
Tom had a decision to make.	湯姆要做個決定。
I believe the actions that he took were right.	我相信我们采取的行动是对的。
My father drives a very old car.	我的父親開一輛舊車。
I don't think Tom trusts many people.	我不認為湯姆相信許多人。
We have to stop the bleeding.	我們必須止血。
Does she know your phone number?	她知道你的電話號碼？
The truth is that nothing is totally true or false.	真相是沒有甚麼完全正確或錯誤。
Beware of the dog!	小心狗！
I don't think that it's necessary.	我想没这个必要。
Can you give me your phone number?	你能給我你的電話號碼嗎？
Do you feel lucky?	你觉得幸运吗？
Why did you cry?	你为什么哭？
Don't worry! Even if I drink, it doesn't have an effect on my driving.	別擔心! 即使我喝酒了, 它對我的駕駛沒有影響。
Show me your passport, please.	请给我看看您的护照。
I have a high fever.	我烧得很厉害。
Give me a dozen oranges.	給我一打橘子。
It's all your fault.	都是你的错。
I would rather not go there alone.	我寧可不要單獨去那裡。
Some people clung to tree branches for several hours to avoid being washed away by the floodwaters.	为了不被洪水冲走，有的人紧紧地抱着树干长达数个钟头。
Tom can't find Mary.	汤姆找不到玛丽。
What type of food do you like?	你喜欢什么样的食物？
I am a Japanese high school girl.	我是一個日本的高中女生。
I smell something here.	我在这里闻见了什么。
I didn't want to humiliate you.	我不是想要羞辱你。
We defeated the enemy.	我們戰勝了敵人。
I know it's hard to believe.	我知道，要相信这件事很难。
What language is spoken in Egypt?	在埃及说什么语言？
They're armed.	他們有帶武器。
Fire is always dangerous.	火總是危險的。
Tom, you'd better stay here.	湯姆，你留在這裡比較好。
Tom has nothing to do here.	湯姆在這裡沒有可做的事。
Tom doesn't have a driver's license.	湯姆沒有駕駛證。
Could you please talk a bit louder? I can't hear very well.	你能大声点讲吗？我听不太清。
Didn't you see the man?	你没看到那个男人吗？
I meet him at the club.	我在俱樂部見到他。
Tom didn't even notice Mary had gone.	湯姆甚至沒注意到瑪麗走了。
She made a series of medical discoveries.	她提出了一連串的醫學發現。
I believe in you.	我相信你。
I'll send a message to Tom.	我会给汤姆发信息。
Tom swam.	汤姆游泳了。
The news confirmed my suspicions.	这一消息证实了我的怀疑。
Is she all right?	她是正确的吗？
I had to go to America.	我必須去美國。
Who found my bag?	誰找到了我的包？
This is your book.	這是你的書。
I arrived here yesterday.	我昨天到這裡的。
I can't put up with it.	我无法忍受它了。
Let me help you with your work.	讓我幫你做你的工作。
It's the truth.	这是事实。
Walk faster, or you'll miss the train.	走快一點，不然你會錯過火車。
Could I have a subway map, please?	給我一張地下鐵的路線圖好嗎？
Do you understand?	你明白了嗎?
We've been married for five years.	我們已經結婚五年了。
How strange!	真奇怪。
I'm going to change my clothes.	我要去换衣服。
Somebody must care for the patient.	一定要有人照顧病人。
My mother likes tea very much.	我媽媽很喜歡茶。
The hawk caught a mouse.	這隻鷹抓到一隻老鼠。
There is a large supermarket.	有一個大型超市。
He owes his success to good luck.	他將他的成功歸於好運。
Don't drop this cup.	不要掉了这个杯子。
Tom was bullied.	汤姆被欺负了。
He is watching TV.	他在看电视。
I think I made a mistake.	我认为我犯了个错。
I've been here for a very long time.	我在這裡很長時間了。
We lock the door at night.	我们晚上锁门。
Can't you lower your voice?	你不能小聲點說話嗎？
He continued working all day.	他繼續工作了一整天。
Are you studying?	你們學習嗎？
How did you like the party?	你覺得這個派對如何?
You'd better consult your doctor.	你最好請教你的醫生。
What do you want to be?	你想成为什么？
I'd like to go with Tom.	我想跟湯姆走。
The same thing is happening here in Boston.	同樣的事在這－波士頓發生。
I've been looking for a new job for a long time.	我已经找了很久的工作。
My friends invited me to supper.	我朋友邀我共赴晚餐。
I need your cooperation.	我需要你们的合作。
What's your occupation?	您的職業是什麼？
Tom's dog bit him playfully.	汤姆的狗咬他玩。
Where's the nearest drugstore?	最近的藥店在哪裡？
Tom and his friends played basketball all afternoon.	汤姆和朋友们打了整个下午篮球。
He didn't give me anything to eat.	他沒有給我任何東西吃。
There's no need to get so angry.	沒有必要這麼生氣。
Please knock before you come in.	进来之前请敲门。
Compared to Tokyo, London is small.	和东京比，伦敦很小。
Attack is the best form of defense.	進攻是最好的防禦。
In the winter, many older people slip on ice and fall down.	在冬天，很多老人在冰上滑倒。
Who is the woman dressed in pink?	那個穿粉紅色衣服的女人是誰？
She lives just across from us.	她就住在我們對面。
She wore a white dress.	她穿了一件白色的洋裝。
What kind of person is she?	她是怎样的人呢？
That is no business of his.	那不關他的事。
What do you make of his attitude towards us these days?	你做了什麼讓他這些日子用這種態度對待我們？
A string of disasters struck the region.	一連串的災難襲擊這個地區。
My body aches all over.	我全身酸痛。
This school has many students.	这个学校有很多学生。
I don't want Tom seeing this.	我不想讓湯姆看見這個。
We are going to leave tomorrow.	我們明天要離開。
I cannot speak Mandarin well.	我的中文說得不好。
I've lost my pen.	我弄丟了我的筆。
Don't be disappointed.	不要失望。
Do they speak French in Canada?	他們在加拿大說法語嗎？
Ask him his name.	问他一下他的名字。
I lost my umbrella.	我丢了我的伞。
I'd rather be a bird than a fish.	我寧願是一隻鳥勝過一條魚。
I've never known anyone as hypocritical as you.	我从来没有见过谁像你这么虚伪的。
That's perfect.	那是完美的。
He got a good grade in mathematics.	他數學得了一個好成績。
You look stupid.	你看上去很傻。
We love our school.	我們愛我們的學校。
